Date,Price,Open,High,Low,Volume,Chg%,Log_Price,Mean_12,First_Diff
2014-12-05,26279,26698,26698,25801,170,-0.79,10.17652542012418,10.179136702926096,-0.007921659102901657
2014-12-08,26228,26277,26350,26164,10300,-0.19,10.17458282138351,10.178405967703068,-0.001942598740670931
2014-12-09,27023,26322,27168,26321,25020,3.03,10.204443634218446,10.180381234763159,0.029860812834936468
2014-12-10,27054,27000,27220,26910,18250,0.11,10.20559014764914,10.182190361679666,0.0011465134306938296
2014-12-11,27142,27096,27240,26860,18570,0.33,10.208837622641315,10.184696160043929,0.00324747499217537
2014-12-12,27088,27168,27188,26910,19320,-0.2,10.206846104372916,10.186849531548868,-0.0019915182683991617
2014-12-15,27173,27037,27348,26912,19060,0.31,10.209979112224897,10.189770631963137,0.0031330078519804516
2014-12-16,27044,27120,27636,26822,35790,-0.47,10.205220448210568,10.1935238420339,-0.004758664014328673
2014-12-17,26802,27011,27099,26775,19260,-0.89,10.196231790580173,10.194323628233404,-0.008988657630395025
2014-12-18,26659,26888,27111,26580,22400,-0.53,10.19088208365186,10.195694610122423,-0.005349706928312159
2014-12-19,26859,26725,26922,26654,13730,0.75,10.198356239302266,10.196828541965528,0.007474155650404768
2014-12-22,26458,26859,26910,26403,15110,-1.49,10.183313849022326,10.196734106115132,-0.015042390279939255
2014-12-23,26468,26499,26600,26366,13760,0.04,10.18369173513195,10.197331299032447,0.0003778861096233044
